漢字,答え,ヒント,例（日本語）,例（英語）
場所,place,ばしょ,~,~
工場,factory,こうじょう,~,~
建てる,to build,たてる,~,~
建物,building,たてもの,~,~
物,things,もの,~,~
買い物,shopping,かいもの,~,~
動物,animal,どうぶつ,~,~
病院,hospital,びょういん,~,~
入院する,to be hospitalized,にゅういんする,~,~
大学院,graduate school,だいがくいん,~,~
映画館,movie theater,えいがかん,~,~
大使館,embassy,たいしかん,~,~
食堂,dining room,しょくどう,~,~
教室,classroom,きょうしつ,~,~
工事,construction,こうじ,~,~
工業,manufacturing,こうぎょう,~,~
図,figure,ず,~,~
地図,map,ちず,~,~
図書館,library,としょかん,~,~
信号,signal,しんごう,~,~
交通,traffic,こうつう,~,~
通る,to go through,とおる,~,~
通う,to commute,かよう,~,~
通学,commute to school,つうがく,~,~
大通り,main street,おおどおり,~,~
動く,to move,うごく,~,~
運動,exercise,うんどう,~,~
自動車,car,じどうしゃ,~,~
乗る,to get on,のる,~,~
乗り場,transport stop/stand,のりば,~,~
降りる,to get off,おりる,~,~
降る,to rain,ふる,~,~
運ぶ,to transport,はこぶ,~,~
運転する,to drive,うんてんする,~,~
自転車,bicycle,じてんしゃ,~,~
帰る,to return,かえる,~,~
帰国する,to return one’s country,きこくする,~,~
お帰りなさい,welcome home,おかえりなさい,~,~
出発する,to leave,しゅっぱつする,~,~
着る,to put on clothes,きる,~,~
着く,to arrive,つく,~,~
着物,Kimono,きもの,~,~
漢字,Kanji,かんじ,~,~
字,letter,じ,~,~
文字,character,もじ,~,~
文,sentence,ぶん,~,~
文学,literature,ぶんがく,~,~
教える,to teach,おしえる,~,~
教室,classroom,きょうしつ,~,~
教科書,text book,きょうかしょ,~,~
勉強する,to study,べんきょうする,~,~
習う,to learn,ならう,~,~
英語,English,えいご,~,~
考える,to think,かんがえる,~,~
研究する,do research,けんきゅうする,~,~
研究者,researcher,けんきゅうしゃ,~,~
研究室,laboratory,けんきゅうしつ,~,~
