漢字,答え,ヒント,例（日本語）,例（英語）
住む,to live,すむ,~,~
所,place,ところ,~,~
住所,address,じゅうしょ,~,~
台所,kitchen,だいどころ,~,~
場所,place,ばしょ,~,~
東京,Tokyo,とうきょう,~,~
東京都,metropolis of Tokyo,とうきょうと,~,~
都合がいい,convenient,つごうがいい,~,~
首都,capital,しゅと,~,~
京都府,Kyoto prefecture,きょうとふ,~,~
山口県,Yamaguchi prefecture,やまぐちけん,~,~
京都市,Kyoto City,きょうとし,~,~
市長,mayor,しちょう,~,~
市場,market,いちば,~,~
北区,north ward,きたく,~,~
町,town,まち,~,~
下町,downtown,したまち,~,~
村,village,むら,~,~
村人,villager,むらびと,~,~
明るい,bright;cheerful,あかるい,~,~
明日,tomorrow,あした,~,~
説明,explanation,せつめい,~,~
発明,invention,はつめい,~,~
暗い,dark,くらい,~,~
遠い,far,とおい,~,~
近い,near,ちかい,~,~
近所,neighborhood,きんじょ,~,~
最近,recently,さいきん,~,~
強い,strong,つよい,~,~
勉強する,to study,べんきょうする,~,~
弱い,weak,よわい,~,~
強弱,strong and weak,きょうじゃく,~,~
重い,heavy,おもい,~,~
重大な,important,じゅうだいな,~,~
体重,body weight,たいじゅう,~,~
軽い,light (weight),かるい,~,~
太い,fat,ふとい,~,~
細い,slender;slim,ほそい,~,~
細かい,fine;very small,こまかい,~,~
時に,especially,とくに,~,~
特別な,special,とくべつな,~,~
特急,limited express,とっきゅう,~,~
別れる,to separate,わかれる,~,~
別々に,separately,べつべつに,~,~
区別する,to distinguish,くべつする,~,~
分別する,to classify,ぶんべつする,~,~
有る,to exist;to be,ある,~,~
有名な,famous,ゆうめいな,~,~
便利な,convenient,べんりな,~,~
利用する,to use,りようする,~,~
利子,interest,りし,~,~
不便な,inconvenient,ふべんな,~,~
切る,to cut,きる,~,~
切手,postage stamp,きって,~,~
大切な,important,たいせつな,~,~
親切な,kind,しんせつな,~,~
元気な,healthy;energetic;active,げんきな,~,~
元日,New Year's Day,がんじつ,~,~
好きな,like;favorite,すきな,~,~
急に,suddenly,きゅうに,~,~
急ぐ,to hurry,いそぐ,~,~
低い,low,ひくい,~,~
広い,wide;spacious,ひろい,~,~
短い,short,みじかい,~,~
良い,good,よい,~,~
悪い,bad,わるい,~,~
正しい,correct,ただしい,~,~
正月,New Year,しょうがつ,~,~
変わる,to change,かわる,~,~
変な,strange,へんな,~,~
大変な,hard;difficult,たいへんな,~,~
変化する,to change,へんかする,~,~
赤い,red,あかい,~,~
赤ちゃん,baby,あかちゃん,~,~
青い,blue,あおい,~,~
青空,blue sky,あおぞら,~,~
黒い,black,くろい,~,~
