漢字,答え,ヒント,例（日本語）,例（英語）
体,body,からだ,~,~
頭,head,あたま,~,~
頭がいい,smart,あたまがいい,~,~
顔,face,かお,~,~
首,neck,くび,~,~
首都,capital,しゅと,~,~
心,heart,こころ,~,~
安心する,to be relieved,あんしんする,~,~
声,voice,こえ,~,~
病気,illness,びょうき,~,~
病院,hospital,びょういん,~,~
薬,medicine,くすり,~,~
科学,science,かがく,~,~
教科書,textbook,きょうかしょ,~,~
車内,in the car,しゃない,~,~
朝,morning,あさ,~,~
今朝,this morning,けさ,~,~
朝日,sunrise,あさひ,~,~
昼,noon,ひる,~,~
昼休み,lunch break,ひるやすみ,~,~
夜,night,よる,~,~
今夜,tonight,こんや,~,~
夕日,sunset,ゆうひ,~,~
夕食,supper,ゆうしょく,~,~
読み方,how to read,よみかた,~,~
夕方,evening,ゆうがた,~,~
あの方,that person,あのかた,~,~
今晩,tonight,こんばん,~,~
毎晩,every night,まいばん,~,~
晩ご飯,dinner,ばんごはん,~,~
時計,watch; clock,とけい,~,~
計画,plan,けいかく,~,~
日曜日,Sunday,にちようび,~,~
水曜日,Wednesday,すいようび,~,~
何曜日,what day of the week,なんようび,~,~
以上,more than,いじょう,~,~
以下,less than,いか,~,~
以外,except,いがい,~,~
一度,once,いちど,~,~
今度,next time,こんど,~,~
25度,25 degrees,25ど,~,~
止まる,to stop,とまる,~,~
中止する,to cancel,ちゅうしする,~,~
歩く,to walk,あるく,~,~
走る,to run,はしる,~,~
起きる,to get up,おきる,~,~
持つ,to hold,もつ,~,~
気持ち,feeling,きもち,~,~
待つ,to wait,まつ,~,~
待ち合わせ,appointment; meet up,まちあわせ,~,~
借りる,to borrow,かりる,~,~
貸す,to lend,かす,~,~
始める,to begin,はじめる,~,~
終わる,to end,おわる,~,~
