漢字,答え,ヒント,例（日本語）,例（英語）
家,house,いえ,~,~
画家,painter,がか,~,~
家内,wife,かない,~,~
家族,family,かぞく,~,~
私,I,わたし,~,~
自分,oneself,じぶん,~,~
自動ドア,automatic door,じどうドア,~,~
親,parent,おや,~,~
母親,mother,ははおや,~,~
親切な,kind,しんせつな,~,~
両親,parents,りょうしん,~,~
両方,both,りょうほう,~,~
両手,both hands,りょうて,~,~
兄,one’s elder brother,あに,~,~
お兄さん,elder brother,おにいさん,~,~
弟,one’s younger brother,おとうと,~,~
兄弟,brothers / siblings,きょうだい,~,~
姉,one’s elder sister,あね,~,~
お姉さん,elder sister,おねえさん,~,~
妹,one’s younger sister,いもうと,~,~
姉妹,sisters,しまい,~,~
生活,living,せいかつ,~,~
回す,to turn,まわす,~,~
１回,once,いっかい,~,~
前回,the last time,ぜんかい,~,~
主人,husband,しゅじん,~,~
色,color,いろ,~,~
茶色,brown,ちゃいろ,~,~
形,shape,かたち,~,~
人形,doll,にんぎょう,~,~
品物,goods,しなもの,~,~
食料品,food,しょくりょうひん,~,~
国民,citizens of the state,こくみん,~,~
市民,citizen,しみん,~,~
服,clothes,ふく,~,~
洋服,Western clothing,ようふく,~,~
犬,dog,いぬ,~,~
子犬,puppy,こいぬ,~,~
同じ,same,おなじ,~,~
米,rice,こめ,~,~
料金,fee;charge,りょうきん,~,~
料理,cooking,りょうり,~,~
地理,geography,ちり,~,~
肉,meat,にく,~,~
牛肉,beef,ぎゅうにく,~,~
鳥,bird,とり,~,~
小鳥,little bird,ことり,~,~
鳥肉,chicken,とりにく,~,~
野菜,vegetable,やさい,~,~
お茶,tea,おちゃ,~,~
ご飯,cooked rice;meal,ごはん,~,~
夕飯,supper,ゆうはん,~,~
晩ご飯,dinner,ばんごはん,~,~
味,taste,あじ,~,~
意味,meaning,いみ,~,~
代わる,take somebody’s place,かわる,~,~
代わりに,instead,かわりに,~,~
使う,to use,つかう,~,~
大使館,embassy,たいしかん,~,~
使用中,be engaged on something,しようちゅう,~,~
作る,to make,つくる,~,~
作文,essay,さくぶん,~,~
変化する,to change,へんかする,~,~
信じる,to believe,しんじる,~,~
信号,signal,しんごう,~,~
進む,to proceed,すすむ,~,~
送る,to send,おくる,~,~
返す,to return,かえす,~,~
洗う,to wash,あらう,~,~
お手洗い,restroom,おてあらい,~,~
